case_id,direction,expected_family,before_pass,after_pass,before_top1,after_top1,before_top3,after_top3,source_kind,attributed_guards,confidence,reason
cov_feist-bénary_furan_synthesis_895,top1_shifted_no_flag_change,Feist-Bénary Furan Synthesis,True,True,Acetoacetic Ester Synthesis,Retro-Claisen Reaction,Acetoacetic Ester Synthesis | Retro-Claisen Reaction | Claisen Condensation / Claisen Reaction,Retro-Claisen Reaction | Claisen Condensation / Claisen Reaction | Feist-Bénary Furan Synthesis,application_example,G04_acetoacetic_ester,high,single guard match (G04_acetoacetic_ester); expected_dir=shed_aae_greed; observed=top1_shifted_no_flag_change
cov_grob_fragmentation_996,no_change,Grob Fragmentation,True,True,Grob Fragmentation,Grob Fragmentation,Grob Fragmentation | Hofmann Elimination | Alder (Ene) Reaction (Hydro-Allyl Addition),Grob Fragmentation | Alder (Ene) Reaction (Hydro-Allyl Addition) | Wohl-Ziegler Bromination,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_hantzsch_dihydropyridine_synthesis_905,top1_shifted_no_flag_change,Hantzsch Dihydropyridine Synthesis,True,True,Acetoacetic Ester Synthesis,Hantzsch Dihydropyridine Synthesis,Acetoacetic Ester Synthesis | Hantzsch Dihydropyridine Synthesis | Regitz Diazo Transfer,Hantzsch Dihydropyridine Synthesis | Regitz Diazo Transfer | Kulinkovich Reaction,application_example,G04_acetoacetic_ester,high,single guard match (G04_acetoacetic_ester); expected_dir=shed_aae_greed; observed=top1_shifted_no_flag_change
cov_hantzsch_dihydropyridine_synthesis_906,top1_shifted_no_flag_change,Hantzsch Dihydropyridine Synthesis,True,True,Acetoacetic Ester Synthesis,Hantzsch Dihydropyridine Synthesis,Acetoacetic Ester Synthesis | Hantzsch Dihydropyridine Synthesis | Claisen Condensation / Claisen Reaction,Hantzsch Dihydropyridine Synthesis | Claisen Condensation / Claisen Reaction | Alder (Ene) Reaction (Hydro-Allyl Addition),application_example,G04_acetoacetic_ester,high,single guard match (G04_acetoacetic_ester); expected_dir=shed_aae_greed; observed=top1_shifted_no_flag_change
cov_hofmann_elimination_909,top1_shifted_no_flag_change,Hofmann Elimination,True,True,Hofmann Elimination,Grob Fragmentation,Hofmann Elimination | Grob Fragmentation | Schwartz Hydrozirconation,Grob Fragmentation | Schwartz Hydrozirconation | Alder (Ene) Reaction (Hydro-Allyl Addition),application_example,G02_hofmann_elimination,high,single guard match (G02_hofmann_elimination); expected_dir=gain_hofmann_from_cope; observed=top1_shifted_no_flag_change
cov_hofmann_elimination_910,lost,Hofmann Elimination,True,False,Hofmann Elimination,Ring-Closing Metathesis,Hofmann Elimination | Ring-Closing Metathesis | Alkene (Olefin) Metathesis,Ring-Closing Metathesis | Alkene (Olefin) Metathesis | Vinylcyclopropane-Cyclopentene Rearrangement,application_example,G02_hofmann_elimination,medium,single guard match (G02_hofmann_elimination); expected_dir=gain_hofmann_from_cope; observed=lost
cov_jacobsen_hydrolytic_kinetic_resolution_938,no_change,Jacobsen Hydrolytic Kinetic Resolution,True,True,Jacobsen Hydrolytic Kinetic Resolution,Jacobsen Hydrolytic Kinetic Resolution,Jacobsen Hydrolytic Kinetic Resolution | Sharpless Asymmetric Dihydroxylation | Sandmeyer Reaction,Jacobsen Hydrolytic Kinetic Resolution | Sharpless Asymmetric Dihydroxylation | Corey-Bakshi-Shibata Reduction (CBS Reduction),application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_larock_indole_synthesis_1036,top1_shifted_no_flag_change,Larock Indole Synthesis,True,True,Ullmann Reaction / Coupling / Biaryl Synthesis,Larock Indole Synthesis,Ullmann Reaction / Coupling / Biaryl Synthesis | Larock Indole Synthesis | Suzuki Cross-Coupling (Suzuki-Miyaura Cross-Coupling),Larock Indole Synthesis | Suzuki Cross-Coupling (Suzuki-Miyaura Cross-Coupling) | Ullmann Reaction / Coupling / Biaryl Synthesis,application_example,G12_ullmann_generic,high,single guard match (G12_ullmann_generic); expected_dir=shed_ullmann_where_demoter_fires; observed=top1_shifted_no_flag_change
cov_larock_indole_synthesis_1037,no_change,Larock Indole Synthesis,True,True,Larock Indole Synthesis,Larock Indole Synthesis,Larock Indole Synthesis | Ullmann Reaction / Coupling / Biaryl Synthesis | Buchwald-Hartwig Cross-Coupling,Larock Indole Synthesis | Buchwald-Hartwig Cross-Coupling | Kumada Cross-Coupling,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_minisci_reaction_1066,no_change,Minisci Reaction,True,True,Minisci Reaction,Minisci Reaction,Minisci Reaction | Chichibabin Amination Reaction (Chichibabin Reaction) | Baker-Venkataraman Rearrangement,Minisci Reaction | Chichibabin Amination Reaction (Chichibabin Reaction) | Pomeranz-Fritsch Reaction,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_miyaura_boration_1075,no_change,Miyaura Boration,True,True,Miyaura Boration,Miyaura Boration,Miyaura Boration | Sandmeyer Reaction | Grignard Reaction,Miyaura Boration | Grignard Reaction | Kornblum Oxidation,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_negishi_cross-coupling_1096,top1_shifted_no_flag_change,Negishi Cross-Coupling,False,False,Sandmeyer Reaction,Kumada Cross-Coupling,Sandmeyer Reaction | Kumada Cross-Coupling | Kornblum Oxidation,Kumada Cross-Coupling | Kornblum Oxidation | Suzuki Cross-Coupling,application_example,G09_sandmeyer,high,single guard match (G09_sandmeyer); expected_dir=gain_sandmeyer_where_diazonium; observed=top1_shifted_no_flag_change
cov_negishi_cross-coupling_1097,no_change,Negishi Cross-Coupling,True,True,Friedel-Crafts Alkylation,Friedel-Crafts Alkylation,Friedel-Crafts Alkylation | Eschenmoser-Tanabe Fragmentation | Sandmeyer Reaction,Friedel-Crafts Alkylation | Eschenmoser-Tanabe Fragmentation | Hunsdiecker Reaction,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_passerini_multicomponent_reaction_1127,no_change,Passerini Multicomponent Reaction,False,False,Lieben Haloform Reaction,Lieben Haloform Reaction,Lieben Haloform Reaction | Mannich Reaction | Clemmensen Reduction,Lieben Haloform Reaction | Schmidt Reaction | Mannich Reaction,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_peterson_olefination_1147,top1_shifted_no_flag_change,Peterson Olefination,True,True,Wolff-Kishner Reduction,Peterson Olefination,Wolff-Kishner Reduction | Noyori Asymmetric Hydrogenation | Lieben Haloform Reaction,Peterson Olefination | Noyori Asymmetric Hydrogenation | Lieben Haloform Reaction,application_example,G03_wolff_kishner;G10_peterson,ambiguous,2 guards matched — manual triage needed
cov_peterson_olefination_1148,no_change,Peterson Olefination,True,True,Peterson Olefination,Peterson Olefination,Peterson Olefination | Lieben Haloform Reaction | Wolff-Kishner Reduction,Peterson Olefination | Lieben Haloform Reaction | Schmidt Reaction,application_example,G10_peterson,medium,single guard match (G10_peterson); expected_dir=gain_peterson_where_silicon; observed=no_change
cov_polonovski_reaction_1165,no_change,Polonovski Reaction,True,True,Polonovski Reaction,Polonovski Reaction,Polonovski Reaction | Hofmann Elimination | Robinson Annulation,Polonovski Reaction | Robinson Annulation | Tsuji-Trost Reaction / Allylation,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_schmidt_reaction_1241,top1_shifted_no_flag_change,Schmidt Reaction,True,True,Lieben Haloform Reaction,Schmidt Reaction,Lieben Haloform Reaction | Mannich Reaction | Schmidt Reaction,Schmidt Reaction | Lieben Haloform Reaction | Mannich Reaction,application_example,G06_schmidt,high,single guard match (G06_schmidt); expected_dir=gain_schmidt_where_azide_present; observed=top1_shifted_no_flag_change
cov_schwartz_hydrozirconation_1246,no_change,Schwartz Hydrozirconation,True,True,Schwartz Hydrozirconation,Schwartz Hydrozirconation,Schwartz Hydrozirconation | Hofmann Elimination | Brown Hydroboration Reaction,Schwartz Hydrozirconation | Brown Hydroboration Reaction | Wacker Oxidation,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_skraup_and_doebner-miller_quinoline_synthesis_1270,no_change,Skraup and Doebner-Miller Quinoline Synthesis,True,True,Skraup and Doebner-Miller Quinoline Synthesis,Skraup and Doebner-Miller Quinoline Synthesis,Skraup and Doebner-Miller Quinoline Synthesis | Sandmeyer Reaction | Balz-Schiemann Reaction (Schiemann Reaction),Skraup and Doebner-Miller Quinoline Synthesis | Balz-Schiemann Reaction (Schiemann Reaction) | Meerwein Arylation,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_skraup_and_doebner-miller_quinoline_synthesis_1271,no_change,Skraup and Doebner-Miller Quinoline Synthesis,True,True,Skraup and Doebner-Miller Quinoline Synthesis,Skraup and Doebner-Miller Quinoline Synthesis,Skraup and Doebner-Miller Quinoline Synthesis | Sandmeyer Reaction | Bartoli Indole Synthesis,Skraup and Doebner-Miller Quinoline Synthesis | Bartoli Indole Synthesis | Reimer-Tiemann Reaction,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_sonogashira_cross-coupling_1285,no_change,Sonogashira Cross-Coupling,True,True,Friedel-Crafts Alkylation,Friedel-Crafts Alkylation,Friedel-Crafts Alkylation | Sandmeyer Reaction | Balz-Schiemann Reaction (Schiemann Reaction),Friedel-Crafts Alkylation | Balz-Schiemann Reaction (Schiemann Reaction) | Alkyne Metathesis,application_example,,none,no family keyword match across expected/top1_before/top1_after
cov_stille-kelly_coupling_1310,top1_shifted_no_flag_change,Stille-Kelly Coupling,True,True,Sandmeyer Reaction,Kornblum Oxidation,Sandmeyer Reaction | Kornblum Oxidation | Corey-Winter Olefination,Kornblum Oxidation | Corey-Winter Olefination | Skraup and Doebner-Miller Quinoline Synthesis,application_example,G09_sandmeyer,high,single guard match (G09_sandmeyer); expected_dir=gain_sandmeyer_where_diazonium; observed=top1_shifted_no_flag_change
cov_ullmann_reaction_/_coupling_/_biaryl_synthesis_1351,top1_shifted_no_flag_change,Ullmann Reaction / Coupling / Biaryl Synthesis,True,True,Sandmeyer Reaction,Corey-Winter Olefination,Sandmeyer Reaction | Corey-Winter Olefination | Ullmann Reaction / Coupling / Biaryl Synthesis,Corey-Winter Olefination | Ullmann Reaction / Coupling / Biaryl Synthesis | Balz-Schiemann Reaction (Schiemann Reaction),application_example,G09_sandmeyer;G12_ullmann_generic,ambiguous,2 guards matched — manual triage needed
cov_ullmann_reaction_/_coupling_/_biaryl_synthesis_1352,no_change,Ullmann Reaction / Coupling / Biaryl Synthesis,False,False,Friedel-Crafts Alkylation,Friedel-Crafts Alkylation,Friedel-Crafts Alkylation | Sandmeyer Reaction | Eschenmoser-Tanabe Fragmentation,Friedel-Crafts Alkylation | Eschenmoser-Tanabe Fragmentation | Hunsdiecker Reaction,application_example,G12_ullmann_generic,medium,single guard match (G12_ullmann_generic); expected_dir=shed_ullmann_where_demoter_fires; observed=no_change
cov_von_pechmann_reaction_1403,top1_shifted_no_flag_change,von Pechmann Reaction,True,True,Acetoacetic Ester Synthesis,von Pechmann Reaction,Acetoacetic Ester Synthesis | Michael Addition Reaction | von Pechmann Reaction,von Pechmann Reaction | Acetoacetic Ester Synthesis | Michael Addition Reaction,application_example,G04_acetoacetic_ester;G11_von_pechmann,ambiguous,2 guards matched — manual triage needed
cov_wittig_reaction_1379,no_change,Wittig Reaction,False,False,Schmidt Reaction,Schmidt Reaction,Schmidt Reaction | Riley Selenium Dioxide Oxidation | Peterson Olefination,Schmidt Reaction | Riley Selenium Dioxide Oxidation | Tebbe Olefination/Petasis-Tebbe Olefination,application_example,G06_schmidt,medium,single guard match (G06_schmidt); expected_dir=gain_schmidt_where_azide_present; observed=no_change
cov_wurtz_coupling_1396,top1_shifted_no_flag_change,Wurtz Coupling,True,True,Finkelstein Reaction,Gabriel Synthesis,Finkelstein Reaction | Gabriel Synthesis | Brown Hydroboration Reaction,Gabriel Synthesis | Brown Hydroboration Reaction | Wurtz Coupling,application_example,G05_finkelstein,high,single guard match (G05_finkelstein); expected_dir=shed_finkelstein_greed; observed=top1_shifted_no_flag_change
