case_id,source_extract_id,expected_family,top1_family,top3_families,top3_scores,top1_correct,top3_correct,acceptance_override_used,disallow_violated,no_confident_hit,query_type,adversarial_type,query_reaction_types_ko,pruned_mismatch_count,notes
broad_barton_nitrite_ester_reaction_1480,1480,Barton Nitrite Ester Reaction,Barton Nitrite Ester Reaction,Barton Nitrite Ester Reaction | Kulinovich Reaction | Oppenauer Oxidation,0.388 | 0.293 | 0.242,True,True,False,,True,reaction,,탈산소화,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_barton_radical_decarboxylation_reaction_357,357,Barton Radical Decarboxylation Reaction,Diels-Alder Cycloaddition,Diels-Alder Cycloaddition | Danheiser Benzannulation | Dieckmann Condensation,0.354 | 0.31 | 0.166,False,False,False,,True,reaction,,산화 | ester/lactone 삽입형 산화,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_barton-mccombie_radical_deoxygenation_reaction_796,796,Barton-McCombie Radical Deoxygenation Reaction,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement | Paternò-Büchi Reaction | Barton-McCombie Radical Deoxygenation Reaction,0.413 | 0.073 | 0.049,False,True,False,,True,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_baylis-hillman_reaction_1411,1411,Baylis-Hillman Reaction,Baylis-Hillman Reaction,Baylis-Hillman Reaction | Stetter Reaction | Alkene (Olefin) Metathesis,3.167 | 2.833 | 1.836,True,True,False,,False,reaction,,환원,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_beckmann_rearrangement_1435,1435,Beckmann Rearrangement,Eschenmoser Methenylation,Eschenmoser Methenylation | Enders SAMP/RAMP Hydrazone Alkylation | Ciamician-Dennstedt Rearrangement,1.469 | 1.401 | 1.143,False,False,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_benzilic_acid_rearrangement_401,401,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement | Baylis-Hillman Reaction | Danishefsky's Diene Cycloaddition,2.422 | 0.965 | 0.636,True,True,False,,False,reaction,,환원,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_benzoin_and_retro-benzoin_condensation_157,157,Benzoin and Retro-Benzoin Condensation,Benzoin and Retro-Benzoin Condensation,Benzoin and Retro-Benzoin Condensation | Aldol Reaction | McMurry Coupling,9.249 | 4.032 | 2.681,True,True,False,,False,reaction,,커플링 | 탈산소화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_bergman_cycloaromatization_reaction_1438,1438,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction | Balz-Schiemann Reaction (Schiemann Reaction) | Sandmeyer Reaction,1.835 | 0.577 | 0.532,True,True,False,,False,reaction,,,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_biginelli_reaction_1441,1441,Biginelli Reaction,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis | Darzens Glycidic Ester Condensation | Knoevenagel Condensation,2.198 | 1.686 | 1.609,False,False,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_birch_reduction_1414,1414,Birch Reduction,Birch Reduction,Birch Reduction | Friedel-Crafts Alkylation | Friedel-Crafts Acylation,1.736 | 1.36 | 1.31,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_bischler-napieralski_isoquinoline_synthesis_194,194,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis | Wharton Fragmentation | Eschenmoser-Tanabe Fragmentation,3.049 | 0.493 | 0.433,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_brook_rearrangement_416,416,Brook Rearrangement,Brook Rearrangement,Brook Rearrangement | Rubottom Oxidation | Saegusa Oxidation,2.104 | 0.535 | 0.522,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_brown_hydroboration_reaction_1444,1444,Brown Hydroboration Reaction,Brown Hydroboration Reaction,Brown Hydroboration Reaction | Wacker Oxidation | Dess-Martin Oxidation,2.157 | 1.303 | 1.124,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_buchner_method_of_ring_expansion_(buchner_reaction)_816,816,Buchner Method of Ring Expansion (Buchner Reaction),Buchner Method of Ring Expansion (Buchner Reaction),Buchner Method of Ring Expansion (Buchner Reaction) | Charette Asymmetric Cyclopropanation | Krapcho Dealkoxycarbonylation (Krapcho Reaction),9.961 | 2.182 | 1.378,True,True,False,,False,reaction,,diazo + arene 조합 | 고리 확장,8,Phase 2 broad benchmark — representative reaction per rich family.
broad_buchwald-hartwig_cross-coupling_370,370,Buchwald-Hartwig Cross-Coupling,Buchwald-Hartwig Cross-Coupling,Buchwald-Hartwig Cross-Coupling | Smiles Rearrangement | Bartoli Indole Synthesis,0.708 | 0.455 | 0.293,True,True,False,,False,reaction,,커플링 | 당/다가산소 재배열,2,Phase 2 broad benchmark — representative reaction per rich family.
broad_burgess_dehydration_reaction_1516,1516,Burgess Dehydration Reaction,Burgess Dehydration Reaction,Burgess Dehydration Reaction | Wagner-Meerwein Rearrangement | Lieben Haloform Reaction,3.11 | 2.524 | 1.896,True,True,False,,False,reaction,,탈수,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_cannizzaro_reaction_453,453,Cannizzaro Reaction,Cannizzaro Reaction,Cannizzaro Reaction | Ritter Reaction | Rubottom Oxidation,5.108 | 1.347 | 0.981,True,True,False,,False,reaction,,,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_carroll_rearrangement_(kimel-cope_rearrangement)_818,818,Carroll Rearrangement (Kimel-Cope Rearrangement),Carroll Rearrangement (Kimel-Cope Rearrangement),Carroll Rearrangement (Kimel-Cope Rearrangement) | Acetoacetic Ester Synthesis | Tsuji-Trost Reaction / Allylation,3.351 | 2.431 | 1.403,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_castro-stephens_coupling_378,378,Castro-Stephens Coupling,Castro-Stephens Coupling,Castro-Stephens Coupling | Sonogashira Cross-Coupling | Dakin Oxidation,0.491 | 0.12 | 0.067,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_charette_asymmetric_cyclopropanation_824,824,Charette Asymmetric Cyclopropanation,Buchner Method of Ring Expansion (Buchner Reaction),Buchner Method of Ring Expansion (Buchner Reaction) | Charette Asymmetric Cyclopropanation | Furukawa Modification,7.354 | 4.247 | 1.493,False,True,False,,False,reaction,,diazo + arene 조합 | 고리 확장,4,Phase 2 broad benchmark — representative reaction per rich family.
broad_chichibabin_amination_reaction_(chichibabin_reaction)_384,384,Chichibabin Amination Reaction (Chichibabin Reaction),Chichibabin Amination Reaction (Chichibabin Reaction),Chichibabin Amination Reaction (Chichibabin Reaction) | Ciamician-Dennstedt Rearrangement | Clemmensen Reduction,1.052 | 0.753 | 0.441,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_chugaev_elimination_reaction_(xanthate_ester_pyrolysis)_826,826,Chugaev Elimination Reaction (Xanthate Ester Pyrolysis),Ring-Closing Metathesis,Ring-Closing Metathesis | Alkene (Olefin) Metathesis | Vinylcyclopropane-Cyclopentene Rearrangement,1.323 | 1.26 | 1.223,False,False,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_ciamician-dennstedt_rearrangement_242,242,Ciamician-Dennstedt Rearrangement,Ciamician-Dennstedt Rearrangement,Ciamician-Dennstedt Rearrangement | Clemmensen Reduction | Reimer-Tiemann Reaction,8.967 | 1.342 | 1.147,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_claisen_condensation_/_claisen_reaction_408,408,Claisen Condensation / Claisen Reaction,Claisen Condensation / Claisen Reaction,Claisen Condensation / Claisen Reaction | Horner-Wadsworth-Emmons Olefination | Nenitzescu Indole Synthesis,11.752 | 2.599 | 1.194,True,True,False,,False,reaction,,산화 | ester/lactone 삽입형 산화,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_claisen_rearrangement_1456,1456,Claisen Rearrangement,Claisen Rearrangement,Claisen Rearrangement | Aza-Cope Rearrangement | Meisenheimer Rearrangement,2.985 | 1.384 | 1.286,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_claisen-ireland_rearrangement_1483,1483,Claisen-Ireland Rearrangement,Claisen-Ireland Rearrangement,Claisen-Ireland Rearrangement | Tsuji-Trost Reaction / Allylation | Carroll Rearrangement (Kimel-Cope Rearrangement),3.07 | 2.461 | 1.905,True,True,False,,False,reaction,,,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_clemmensen_reduction_1504,1504,Clemmensen Reduction,Clemmensen Reduction,Clemmensen Reduction | Wolff-Kishner Reduction | Corey-Bakshi-Shibata Reduction (CBS Reduction),3.418 | 2.856 | 2.237,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_combes_quinoline_synthesis_828,828,Combes Quinoline Synthesis,Combes Quinoline Synthesis,Combes Quinoline Synthesis | Benzoin and Retro-Benzoin Condensation | von Pechmann Reaction,6.998 | 2.849 | 2.205,True,True,False,,False,reaction,,다성분 축합,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_cope_elimination_/_cope_reaction_480,480,Cope Elimination / Cope Reaction,Hofmann Elimination,Hofmann Elimination | Ring-Closing Metathesis | Alkene (Olefin) Metathesis,1.697 | 1.323 | 1.26,False,False,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_cope_rearrangement_845,845,Cope Rearrangement,Cope Rearrangement,Cope Rearrangement | Carroll Rearrangement (Kimel-Cope Rearrangement) | Aza-Cope Rearrangement,2.816 | 1.115 | 1.046,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_corey-bakshi-shibata_reduction_(cbs_reduction)_837,837,Corey-Bakshi-Shibata Reduction (CBS Reduction),Corey-Bakshi-Shibata Reduction (CBS Reduction),Corey-Bakshi-Shibata Reduction (CBS Reduction) | Noyori Asymmetric Hydrogenation | Wolff-Kishner Reduction,3.229 | 2.464 | 2.362,True,True,False,,False,reaction,,환원,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_corey-chaykovsky_epoxidation_and_cyclopropanation_839,839,Corey-Chaykovsky Epoxidation and Cyclopropanation,Corey-Chaykovsky Epoxidation and Cyclopropanation,Corey-Chaykovsky Epoxidation and Cyclopropanation | Danishefsky's Diene Cycloaddition | Jacobsen-Katsuki Epoxidation,2.722 | 2.37 | 1.778,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_corey-fuchs_alkyne_synthesis_841,841,Corey-Fuchs Alkyne Synthesis,Corey-Chaykovsky Epoxidation and Cyclopropanation,Corey-Chaykovsky Epoxidation and Cyclopropanation | Pinner Reaction | Roush Asymmetric Allylation,1.748 | 1.682 | 1.678,False,False,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_corey-kim_oxidation_843,843,Corey-Kim Oxidation,Ley Oxidation,Ley Oxidation | Corey-Kim Oxidation | Kornblum Oxidation,4.388 | 4.388 | 3.403,False,True,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_corey-nicolaou_macrolactonization_847,847,Corey-Nicolaou Macrolactonization,Corey-Nicolaou Macrolactonization,Corey-Nicolaou Macrolactonization | Keck Macrolactonization | Yamaguchi Macrolactonization,1.782 | 1.782 | 1.782,True,True,False,,False,reaction,,산화 | 탈카복실화 | ester/lactone 삽입형 산화,3,Phase 2 broad benchmark — representative reaction per rich family.
broad_corey-winter_olefination_849,849,Corey-Winter Olefination,Corey-Winter Olefination,Corey-Winter Olefination | Corey-Kim Oxidation | Kornblum Oxidation,4.415 | 2.269 | 2.098,True,True,False,,False,reaction,,탈수,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_cornforth_rearrangement_851,851,Cornforth Rearrangement,Cornforth Rearrangement,Cornforth Rearrangement | Krapcho Dealkoxycarbonylation (Krapcho Reaction) | Retro-Claisen Reaction,3.567 | 1.19 | 1.184,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_criegee_oxidation_855,855,Criegee Oxidation,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement | Baeyer-Villiger Oxidation | Eschenmoser Methenylation,5.573 | 3.443 | 3.112,False,False,False,,False,reaction,,산화 | ester/lactone 삽입형 산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_curtius_rearrangement_830,830,Curtius Rearrangement,Curtius Rearrangement,Curtius Rearrangement | Lieben Haloform Reaction | Staudinger Reaction,3.164 | 1.686 | 1.589,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_dakin_oxidation_832,832,Dakin Oxidation,Dakin Oxidation,Dakin Oxidation | Reimer-Tiemann Reaction | Kolbe-Schmitt Reaction,4.761 | 2.378 | 1.923,True,True,False,,False,reaction,,환원,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_dakin-west_reaction_853,853,Dakin-West Reaction,Aldol Reaction,Aldol Reaction | Dakin-West Reaction | Clemmensen Reduction,1.295 | 1.179 | 0.748,False,True,False,,False,reaction,,산화 | 탈카복실화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_danheiser_benzannulation_857,857,Danheiser Benzannulation,Danheiser Benzannulation,Danheiser Benzannulation | Friedel-Crafts Acylation | Pinner Reaction,3.516 | 0.679 | 0.657,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_danheiser_cyclopentene_annulation_859,859,Danheiser Cyclopentene Annulation,Danheiser Cyclopentene Annulation,Danheiser Cyclopentene Annulation | Seyferth-Gilbert Homologation | Enders SAMP/RAMP Hydrazone Alkylation,4.273 | 0.749 | 0.674,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_danishefsky's_diene_cycloaddition_865,865,Danishefsky's Diene Cycloaddition,Danishefsky's Diene Cycloaddition,Danishefsky's Diene Cycloaddition | Robinson Annulation | Baylis-Hillman Reaction,3.931 | 0.78 | 0.7,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_darzens_glycidic_ester_condensation_861,861,Darzens Glycidic Ester Condensation,Darzens Glycidic Ester Condensation,Darzens Glycidic Ester Condensation | Danishefsky's Diene Cycloaddition | Stetter Reaction,2.711 | 2.04 | 1.995,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_davis'_oxaziridine_oxidations_863,863,Davis' Oxaziridine Oxidations,Sandmeyer Reaction,Sandmeyer Reaction | Clemmensen Reduction | Dess-Martin Oxidation,1.529 | 1.268 | 1.231,False,False,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_de_mayo_cycloaddition_867,867,De Mayo Cycloaddition,Robinson Annulation,Robinson Annulation | De Mayo Cycloaddition | Regitz Diazo Transfer,2.118 | 1.835 | 1.744,False,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_demjanov_rearrangement_and_tiffeneau-demjanov_rearrangement_869,869,Demjanov Rearrangement and Tiffeneau-Demjanov Rearrangement,Demjanov Rearrangement and Tiffeneau-Demjanov Rearrangement,Demjanov Rearrangement and Tiffeneau-Demjanov Rearrangement | Jones Oxidation | Dess-Martin Oxidation,3.155 | 2.901 | 2.325,True,True,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_dess-martin_oxidation_871,871,Dess-Martin Oxidation,Ley Oxidation,Ley Oxidation | Corey-Kim Oxidation | Kornblum Oxidation,4.388 | 4.388 | 3.403,False,False,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_dieckmann_condensation_873,873,Dieckmann Condensation,Dieckmann Condensation,Dieckmann Condensation | Regitz Diazo Transfer | Kulinkovich Reaction,1.732 | 1.571 | 1.546,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_diels-alder_cycloaddition_875,875,Diels-Alder Cycloaddition,Diels-Alder Cycloaddition,Diels-Alder Cycloaddition | Hetero Diels-Alder Cycloaddition (HDA) | Nenitzescu Indole Synthesis,3.55 | 1.418 | 0.536,True,True,False,,False,reaction,,,1,Phase 2 broad benchmark — representative reaction per rich family.
broad_dienone-phenol_rearrangement_877,877,Dienone-Phenol Rearrangement,Dienone-Phenol Rearrangement,Dienone-Phenol Rearrangement | Robinson Annulation | Wagner-Meerwein Rearrangement,2.588 | 0.671 | 0.534,True,True,False,,False,reaction,,환원,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_dimroth_rearrangement_971,971,Dimroth Rearrangement,Dimroth Rearrangement,Dimroth Rearrangement,3.235,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_doering-laflamme_allene_synthesis_972,972,Doering-Laflamme Allene Synthesis,Doering-Laflamme Allene Synthesis,Doering-Laflamme Allene Synthesis | Wolff Rearrangement | Ramberg-Bäcklund Rearrangement,2.011 | 0.485 | 0.429,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_dötz_benzannulation_reaction_973,973,Dötz Benzannulation Reaction,Dötz Benzannulation Reaction,Dötz Benzannulation Reaction | Alkyne Metathesis | Bergman Cycloaromatization Reaction,2.649 | 1.134 | 0.908,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_enders_samp/ramp_hydrazone_alkylation_503,503,Enders SAMP/RAMP Hydrazone Alkylation,Enders SAMP/RAMP Hydrazone Alkylation,Enders SAMP/RAMP Hydrazone Alkylation | Eschenmoser Methenylation | Stork Enamine Synthesis,5.933 | 3.043 | 2.817,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_enyne_metathesis_611,611,Enyne Metathesis,Schwartz Hydrozirconation,Schwartz Hydrozirconation | Brown Hydroboration Reaction | Dess-Martin Oxidation,1.775 | 1.752 | 1.673,False,False,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_eschenmoser_methenylation_975,975,Eschenmoser Methenylation,Eschenmoser Methenylation,Eschenmoser Methenylation | Enders SAMP/RAMP Hydrazone Alkylation | Stork Enamine Synthesis,4.849 | 2.818 | 2.199,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_eschenmoser-claisen_rearrangement_506,506,Eschenmoser-Claisen Rearrangement,Eschenmoser-Claisen Rearrangement,Eschenmoser-Claisen Rearrangement | Johnson-Claisen Rearrangement | Cope Rearrangement,4.528 | 2.574 | 1.686,True,True,False,,False,reaction,,산화,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_eschenmoser-tanabe_fragmentation_507,507,Eschenmoser-Tanabe Fragmentation,Eschenmoser-Tanabe Fragmentation,Eschenmoser-Tanabe Fragmentation | Friedel-Crafts Alkylation | Sandmeyer Reaction,8.098 | 1.032 | 1.011,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_eschweiler-clarke_methylation_883,883,Eschweiler-Clarke Methylation,Eschweiler-Clarke Methylation,Eschweiler-Clarke Methylation | Pictet-Spengler Tetrahydroisoquinoline Synthesis | Arbuzov Reaction (Michaelis-Arbuzov Reaction),3.503 | 2.013 | 1.826,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_evans_aldol_reaction_893,893,Evans Aldol Reaction,Evans Aldol Reaction,Evans Aldol Reaction | Danishefsky's Diene Cycloaddition | Pomeranz-Fritsch Reaction,4.353 | 1.59 | 1.5,True,True,False,,False,reaction,,환원,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_favorskii_rearrangement_889,889,Favorskii Rearrangement,Favorskii Rearrangement,Favorskii Rearrangement | Favorskii and Homo-Favorskii Rearrangement | Meerwein-Ponndorf-Verley Reduction,3.155 | 2.632 | 1.305,True,True,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_feist-bénary_furan_synthesis_895,895,Feist-Bénary Furan Synthesis,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis | Retro-Claisen Reaction | Claisen Condensation / Claisen Reaction,2.198 | 2.191 | 1.989,False,False,False,,False,reaction,,,0,Phase 2 broad benchmark — representative reaction per rich family.
broad_ferrier_reaction_891,891,Ferrier Reaction,Ferrier Reaction,Ferrier Reaction | Koenigs-Knorr Glycosidation | Kahne Glycosidation,1.397 | 0.479 | 0.468,True,True,False,,False,reaction,,탈산소화,0,Phase 2 broad benchmark — representative reaction per rich family.
