family_name,book_page_no,pdf_page_no,region_index,status,crop_path,paragraph_text,raw_json_path,error
Alkyne Metathesis,13,65,1,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\013_Alkyne_Metathesis_r1.png,"The total synthesis of the recently discovered azamacrolides was undertaken in the laboratory of A. Fürstner.16 These compounds are the defense secretions of the pupae of the Mexican beetle Epilachnar varivestis, and they are the first examples of naturally occurring macrolactones containing a basic nitrogen atom in the tether that do not ring-contract to the corresponding amides. RCAM followed by Lindlar reduction provided a convenient, high-yielding, and stereoselective way to introduce the (Z)-double bond. (The usual RCM approach using Grubbs carbene only yielded a mixture of alkenes (Z) : (E) = 1:2.)",,
Alkyne Metathesis,13,65,2,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\013_Alkyne_Metathesis_r2.png,"A. Fürstner and co-workers also showed that RCAM is indeed a very mild method, because during their stereoselective total synthesis of prostaglandin E2-1,15-lactone, the Mo[N-(t-Bu)(Ar)3]-derived catalyst tolerated a preexisting double bond and a ketone functionality.17 Chromatographic inspection of the reaction mixture revealed that no racemization took place before or after the ring closure, and the ee of the substrate and the product were virtually identical.",,
Alkyne Metathesis,13,65,3,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\013_Alkyne_Metathesis_r3.png,The first total synthesis of three naturally occurring cyclophane derivatives belonging to the turriane family of natural products was also described by A. Fürstner et al.28 These natural products have a sterically hindered biaryl moiety and saturated as well as unsaturated macrocyclic tethers. Stereoselective entry to this class of compounds is possible using RCAM followed by Lindlar reduction of the resulting cycloalkynes.,,
Amadori Reaction / Rearrangement,15,67,1,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\015_Amadori_Reaction_Rearrangement_r1.png,"The synthesis of novel DNA topoisomerase II (topo II) inhibitors was undertaken in the laboratory of T.L. Macdonald.14 Their research program dealt with the synthesis of piperidin-3-one derivatives, which were needed as synthetic intermediates for a variety of potential topo II-directed agents. The key step in their approach was the Amadori reaction for the preparation of highly functionalized piperidin-3-ones under mild conditions. Upon treatment with a catalytic amount of p-toluenesulfonic acid in toluene at reflux, the desired rearrangement took place in high yield.",,
Amadori Reaction / Rearrangement,15,67,2,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\015_Amadori_Reaction_Rearrangement_r2.png,"S. Horvat and co-workers conducted studies on the intramolecular Amadori rearrangement of the monosaccharide esters of the opioid pentapeptide leucine-enkephaline.15 The esters were prepared from either D-glucose, D-mannose or D-galactose by linking their C6 hydroxy group to the C-terminal carboxy group of the endogenous opioid pentapeptide leucine-enkephaline (H-Tyr-Gly-Gly-Phe-Leu-OH). Exposure of these monosaccharide esters to dry pyridine-acetic acid (1:1) mixture for 24h at room temperature, resulted in the desired Amadori rearrangement to afford novel bicyclic ketoses that are related to the furanose tautomers of 1-deoxy-D-fructose (I) and 1-deoxy–D- tagatose (II).",,
Arbuzov Reaction (Michaelis-Arbuzov Reaction),17,69,1,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\017_Arbuzov_Reaction_Michaelis_Arbuzov_Reaction__r1.png,The phosphonic acid analog of NSAID (Non-Steroidal Anti-Inflammatory Drug) diclofenac® was successfully synthesized in the laboratory of B. Mugrage using a novel acid catalyzed Arbuzov reaction as the key step followed by a TMSBr promoted dealkylation.31 It needs to be pointed out that the nucleophilic attack takes place on the ortho- quinonoid intermediate in a non-SN2 process.,,
Arbuzov Reaction (Michaelis-Arbuzov Reaction),17,69,2,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\017_Arbuzov_Reaction_Michaelis_Arbuzov_Reaction__r2.png,R.R. Schmidt and co-workers designed and synthesized a novel class of glycosyltransferase inhibitors.32 The key synthetic steps involve an Arbuzov reaction followed by a coupling with uridine-5’-morpholidophosphate as the activated derivative.,,
Arbuzov Reaction (Michaelis-Arbuzov Reaction),17,69,3,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\017_Arbuzov_Reaction_Michaelis_Arbuzov_Reaction__r3.png,"A novel enantioselective synthesis of an antagonist of the NMDA receptor, cis-perhydroisoquinoline LY235959, was achieved in 13% overall yield and 17 steps from (R)-pantolactone in the laboratory of M.M. Hansen.33 The phosphoric acid portion of the target was introduced by a high-yielding Arbuzov reaction.",,
Arndt-Eistert Homologation / Synthesis,19,71,1,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\019_Arndt_Eistert_Homologation_Synthesis_r1.png,"The oligomers of β-amino acids, as opposed to α-peptides, show a remarkable ability to fold into well-defined secondary structures in solution as well as in the solid state. The β-amino acid building blocks were synthesized from α-amino acids using the Arndt-Eistert homologation reaction in the laboratory of D. Seebach.12",,
Arndt-Eistert Homologation / Synthesis,19,71,2,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\019_Arndt_Eistert_Homologation_Synthesis_r2.png,"During the total synthesis of the CP molecules, K.C. Nicolaou et al. homologated a sterically hindered carboxylic acid, which was part of an advanced intermediate.13 Due to the sensitive nature of this intermediate, the diazo ketone was prepared via the acyl mesylate rather than the acid chloride. The diazo ketone then was immediately dissolved in DMF:H2O (2:1) and heated to 120 °C in the presence of excess Ag2O for one minute to generate the homologated acid in 35% yield.",,
Arndt-Eistert Homologation / Synthesis,19,71,3,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\019_Arndt_Eistert_Homologation_Synthesis_r3.png,A.T. Russell and co-workers synthesized (R)-(–)-homocitric acid-γ-lactone in multigram quantities starting from a citric acid derivative and using the Arndt-Eistert homologation as the key step.14,,
Arndt-Eistert Homologation / Synthesis,19,71,4,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\019_Arndt_Eistert_Homologation_Synthesis_r4.png,"In the laboratory of B.M. Stolz, the first total synthesis of the bis-indole alkaloid (±)-dragmacidin D was accomplished.15 During the endgame, a carboxylic acid was homologated to the corresponding α-bromo ketone by treating the diazo ketone intermediate with hydrobromic acid.",,
Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),21,73,1,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\021_Aza_Claisen_Rearrangement_3_Aza_Cope_Rearrangement__r1.png,The first asymmetric synthesis of fluvirucinine A1 was accomplished in the laboratory of Y.-G. Suh.15 Key steps of the synthesis involved a diastereoselective vinyl addition to the amide carbonyl group as well as an amide enolate induced aza-Claisen rearrangement.15,,
Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),21,73,2,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\021_Aza_Claisen_Rearrangement_3_Aza_Cope_Rearrangement__r2.png,T. Tsunoda and co-workers synthesized the antipode of natural antibiotic antimycin A3b starting from (R)-(+)- methylbenzylamine and utilizing the asymmetric aza-Claisen rearrangement.16 The amide precursor was deprotonated with LiHMDS at low temperature then the reaction mixture was refluxed for several hours to bring about the sigmatropic rearrangement.,,
Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),21,73,3,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\021_Aza_Claisen_Rearrangement_3_Aza_Cope_Rearrangement__r3.png,U. Nubbemeyer et al. achieved the enantioselective total synthesis of the bicyclic tetrahydrofuran natural product (+)- dihydrocanadensolide via a key step utilizing the diastereoselective zwitterionic aza-Claisen rearrangement of an N- allylpyrrolidine.17,,
Aza-Cope Rearrangement,23,75,1,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\023_Aza_Cope_Rearrangement_r1.png,D.J. Bennett et al. developed a facile synthesis of N-benzylallylglycine based on a tandem 2-aza-Cope/iminium ion solvolysis reaction.40 N-Benzylallylglycine can be prepared in good yield through a one-pot reaction of N- benzylhomoallylamine with glyoxylic acid monohydrate in methanol.,,
Aza-Cope Rearrangement,23,75,2,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\023_Aza_Cope_Rearrangement_r2.png,"L.E. Overman and co-workers accomplished a total synthesis of (±)-gelsemine by a sequence where the key strategic steps are a sequential anionic 2-aza-Cope rearrangement and Mannich cyclization, an intramolecular Heck reaction, and a complex base-promoted molecular reorganization to generate the hexacyclic ring system.41 The exposure of the bicyclic substrate to potassium hydride in the presence of 18-crown-6 initiated the anionic aza-Cope rearrangement of the bicyclic formaldehyde-imine alkoxide. The rearrangement product was quenched with excess methyl chloroformate then was treated with base to afford the desired cis-hexahydroisoquinolinone.",,
Aza-Cope Rearrangement,23,75,3,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\023_Aza_Cope_Rearrangement_r3.png,"During the enantioselective total syntheses of (–)- and (+)-strychnine and the Wieland-Gumlich aldehyde, L.E. Overman and co-workers used the tandem aza-Cope rearrangement/Mannich reaction as a key step.42 This central aza-Cope/Mannich reorganization step proceeded in 98% yield.",,
Aza-Wittig Reaction,25,77,1,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\025_Aza_Wittig_Reaction_r1.png,"D.R. Williams and co-workers have accomplished the stereocontrolled total synthesis of the polycyclic Stemona alkaloid, (–)-stemospironine.20 Key transformations included the use of a Staudinger reaction leading to the aza-Wittig ring closure of the perhydroazepine system. The Staudinger reaction was initiated by the addition of triphenylphosphine, leading to an aza-ylide for intramolecular condensation providing a seven-membered imine. An in situ reduction yielded the azepine system. Finally, (–)-stemospironine was produced by the iodine-induced double cyclization reaction in which the vicinal pyrrolidine butyrolactone was formed via the stereoselective intramolecular capture of an intermediate aziridinium salt.",,
Aza-Wittig Reaction,25,77,2,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\025_Aza_Wittig_Reaction_r2.png,"The first total synthesis of (–)-benzomalvin A, which possesses a 4(3H)-quinazolinone and 1,4-benzodiazepin-5-one moiety, was accomplished in the laboratory of S. Eguchi.21 Both 6- and 7-membered ring skeletons were efficiently constructed by the intramolecular aza-Wittig reaction. The precursors were prepared from L-phenylalanine. The reaction of the azide derivative with tributylphosphine formed the corresponding iminophosphorane intermediate, which spontaneously underwent the aza-Wittig cyclization to give the 7-membered ring. Finally the 6-membered ring of (–)-benzomalvin A was constructed by another intramolecular aza-Wittig cyclization reaction.",,
Aza-Wittig Reaction,25,77,3,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\025_Aza_Wittig_Reaction_r3.png,"In the total synthesis of antitumor antibiotic (±)-phloeodictine A1 by B.B. Snider and co-workers, the key step was an aza-Wittig reaction followed by a retro-Diels-Alder reaction to afford the desired bicyclic amidine.22 The polystyrene- supported PPh3 made it easy to separate the product from by-products with a simple filtration.",,
"Aza-[2,3]-Wittig Rearrangement",27,79,1,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\027_Aza_2_3_Wittig_Rearrangement_r1.png,"The aza-Wittig rearrangement of appropriately substituted vinylaziridines leads to the stereoselective formation of tetrahydropyridines, which are key intermediates in the synthesis of piperidines. A one-pot, two-step synthesis of unsaturated piperidines from 2-ketoaziridines utilizing the aza-[2,3]-Wittig rearrangement was reported by I. Coldham and co-workers.24 Treatment of 2-ketoaziridines with two equivalents of a phosphonium ylide generates vinylaziridines that rearrange by a [2,3]-sigmatropic shift with the concomitant ring opening of the aziridines to give unsaturated piperidines.",,
"Aza-[2,3]-Wittig Rearrangement",27,79,2,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\027_Aza_2_3_Wittig_Rearrangement_r2.png,"Research by J.C. Anderson et al. has shown that the inclusion of a C2 trialkylsilyl substituent into allylic amine precursors allows the base-induced aza-[2,3]-sigmatropic rearrangement to proceed in excellent yield and diastereoselectivity.14 The rearrangement precursors require a carbonyl-based nitrogen protecting group that must be stable to the excess strong base required for the reaction. The N-Boc and N-benzoyl groups are very good at stabilizing the product anion and initiating deprotonation. The migrating groups need to stabilize the initial anion by resonance and a pKa>22 is required for the rearrangement to occur. Products are formed with high anti diastereoselectivity (10:1-20:1).",,
"Aza-[2,3]-Wittig Rearrangement",27,79,3,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\027_Aza_2_3_Wittig_Rearrangement_r3.png,"Tertiary amines are generally reluctant to undergo the [2,3]-aza-Wittig rearrangement and promotion of the rearrangement leads to unreacted starting material or [1,2]-rearranged products. However, in certain cases the addition of Lewis acids can lead to successful aza-[2,3]-Wittig rearrangements. In the laboratory of I. Coldham, the aza-[2,3]-Wittig rearrangement of N-alkyl-N-allyl- -amino esters to N-alkyl-C-allyl glycine esters was investigated in detail.25 It was reported that instead of using Lewis acids, the addition of iodomethane or benzyl bromide to tertiary amines promoted quaternary ammonium salt formation. In situ, these salts underwent spontaneous [2,3]-sigmatropic rearrangement when DMF was used as the solvent along with K2CO3 and DBU at 40 °C. In all cases when R=Me, a 60:40 anti:syn ratio of diastereomers was obtained.",,
Baeyer-Villiger Oxidation/Rearrangement,29,81,1,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\029_Baeyer_Villiger_Oxidation_Rearrangement_r1.png,"Investigations by J. Oh showed that the cycloaddition of dichloroketene to glucal followed by Baeyer-Villiger oxidation afforded a bicyclic γ-lactone, an α-D-C-glucoside, which was further transformed to a C1-methyl glucitol derivative.62",,
Baeyer-Villiger Oxidation/Rearrangement,29,81,2,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\029_Baeyer_Villiger_Oxidation_Rearrangement_r2.png,"In the laboratory of T.K.M. Shing, the functionalized CD-ring of Taxol® was synthesized in 21 steps starting out from (S)-(+)-carvone.63 The key steps were Baeyer-Villiger oxidation, Oppenhauer oxidation, Meerwein-Ponndorf-Verley reduction, a stereospecific Grignard addition, and an intramolecular SN2 reaction.",,
Baeyer-Villiger Oxidation/Rearrangement,29,81,3,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\029_Baeyer_Villiger_Oxidation_Rearrangement_r3.png,Only a few methods are known for the preparation of cage-annulated ethers. A.P. Marchand and co-workers have used the Baeyer-Villiger oxidation for the synthesis of novel cage heterocycles and developed a general procedure that can be used to synthesize cage ethers by replacing the carbonyl group in a cage ketone by a ring oxygen atom or by a CH2O group.64,,
Baeyer-Villiger Oxidation/Rearrangement,29,81,4,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\029_Baeyer_Villiger_Oxidation_Rearrangement_r4.png,"An unexpected rearrangement was observed in the peroxytrifluoroacetic acid-mediated Baeyer-Villiger oxidation of trans-3β-hydroxy-4,4,10β-trimethyl-9-decalone by F.W.J. Demnitz and co-workers.65 The initially formed ring- expanded lactone product underwent a trifluoroacetic acid-catalyzed cleavage of the lactone C-O bond, and the resulting tertiary carbocation was trapped by the free hydroxyl group to afford a 7-oxabicyclo[2.2.1]heptane derivative. This compound was then used for the total synthesis and structure proof of the sesquiterpene (±)-farnesiferol C.",,
Baker-Venkataraman Rearrangement,31,83,1,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\031_Baker_Venkataraman_Rearrangement_r1.png,"V. Snieckus and co-workers developed a new carbamoyl Baker-Venkataraman rearrangement, which allowed a general synthesis of substituted 4-hydroxycoumarins in moderate to good overall yields.16 The intermediate arylketones were efficiently prepared from arylcarbamates via directed ortho metallation and Negishi cross coupling. The overall sequence provided a regiospecific anionic Friedel-Crafts complement for the construction of ortho-acyl phenols and coumarins.",,
Baker-Venkataraman Rearrangement,31,83,2,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\031_Baker_Venkataraman_Rearrangement_r2.png,"Stigmatellin A is a powerful inhibitor of electron transport in mitochondria and chloroplasts. During the diastereo- and enantioselective total synthesis of this important natural product, D. Enders et al. utilized the Baker-Venkataraman rearrangement for the construction of the chromone system in good yield.24",,
Baker-Venkataraman Rearrangement,31,83,3,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\031_Baker_Venkataraman_Rearrangement_r3.png,"A highly efficient and operationally simple domino reaction was developed in the laboratory of S. Ruchiwarat for the synthesis of benz[b]indeno[2,1-e]pyran-10,11-diones.25 The initial aroyl-transfer was achieved by the Baker- Venkataraman rearrangement by subjecting the starting material to KOH in pyridine under reflux for 30 minutes.",,
Baldwin's Rules / Guidelines for Ring-Closing Reactions,33,85,1,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\033_Baldwin_s_Rules_Guidelines_for_Ring_Closing_Reactions_r1.png,"D.L Boger and co-workers reported an asymmetric total synthesis of ent-(–)-roseophilin, the unnatural enantiomer of a naturally occurring antitumor antibiotic.16 Their approach featured a 5-exo-trig acyl radical-alkene cyclization to construct the fused cyclopentanone unit. To this end, the hindered methyl ester functionality was hydrolyzed and the resulting acid was transformed to the corresponding phenyl selenoester via a two-step sequence. The 5-exo-trig acyl radical-alkene cyclization was achieved by using AIBN and Bu3SnH to provide the tricyclic ansa-bridged azafulvene core.",,
Baldwin's Rules / Guidelines for Ring-Closing Reactions,33,85,2,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\033_Baldwin_s_Rules_Guidelines_for_Ring_Closing_Reactions_r2.png,"The total synthesis of balanol, a fungal metabolite was accomplished by K.C. Nicolaou et al.17 For the construction of the central hexahydroazepine ring, they have utilized a 7-exo-tet cyclization. The substitution reaction between the mesylate of the primary alcohol and the Cbz-protected amine was effected by a slight excess of base to produce the desired 7-membered ring in high yield.",,
Baldwin's Rules / Guidelines for Ring-Closing Reactions,33,85,3,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\033_Baldwin_s_Rules_Guidelines_for_Ring_Closing_Reactions_r3.png,"The total synthesis of pyrrolidinol alkaloid, (+)-preussin was achieved in five efficient transformations from commercially available tert-Boc-(S)-phenylalanine in the laboratory of S.M. Hecht.18 The key step involved the Hg(II)- mediated 5-endo-dig cyclization of ynone substrate affording the desired pyrrolidinone which, in two more steps, was converted into the natural product.",,
Baldwin's Rules / Guidelines for Ring-Closing Reactions,33,85,4,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\033_Baldwin_s_Rules_Guidelines_for_Ring_Closing_Reactions_r4.png,"In the laboratory of K. Nacro, a cyclization process leading stereoselectively to six- and/or five-membered ring lactones and lactone ethers from optically active epoxy- or diepoxy β-hydroxyesters or diastereomeric epoxy lactones was developed.19 The diastereomeric lactones were prepared from nerol and geraniol. The acid catalyzed cyclization of epoxyalcohols is one of the most effective methods for constructing cyclic ethers. The cyclization proceeds in the exo mode giving cyclic ethers with a hydroxyl group in the side chain. The regioselectivity of the cyclization is predicted by the Baldwin’s rules; in the case shown below the ether formation takes place via a 5-exo-tet cyclization.",,
Balz-Schiemann Reaction,35,87,1,dryrun,C:\chemlens\backend\reports\pdf_example_automation\20260419_093451\crops\035_Balz_Schiemann_Reaction_r1.png,"C. Wiese and co-workers have synthesized 5-fluoro-D/L-dopa and the corresponding [18F]5-Fluoro-L-dopa starting from 5-nitrovanillin via malonic ester synthesis, the Balz-Schiemann reaction, and the separation of the racemic mixture [18F]5-fluoro-D/L-dopa utilizing a chiral HPLC system.26 The inactive 5-fluoro-D/L-dopa was obtained in an eight-step synthesis with an overall yield of 10%.",,
