alias,canonical_name,entity_type,source_page,notes
pic,2-pyridinecarboxylate,ligand,37,
PIFA,phenyliodonium bis(trifluoroacetate),oxidant,37,
Piv,pivaloyl,protecting_group,37,
PLE,pig liver esterase,catalyst,37,Biocatalyst / enzyme abbreviation.
PMB,p-methoxybenzyl,protecting_group,37,Shown as PMB (MPM).
MPM,p-methoxybenzyl,protecting_group,37,Alias shown with PMB.
PMP,"4-methoxyphenyl / 1,2,2,6,6-pentamethylpiperidine",general_term,37,Ambiguous glossary abbreviation on page.
PNB,p-nitrobenzyl,protecting_group,37,
PNZ,p-nitrobenzyloxycarbonyl,protecting_group,37,
PPA,polyphosphoric acid,reagent,37,
PPI,2-phenyl-2-(2-pyridyl)-2H-imidazole,ligand,37,
PPL,pig pancreatic lipase,catalyst,37,Biocatalyst / enzyme abbreviation.
PPO,4-(3-phenylpropyl)pyridine-N-oxide,reagent,37,
PPSE,polyphosphoric acid trimethylsilyl ester,reagent,37,
PPTS,pyridinium p-toluenesulfonate,reagent,38,
Pr,propyl,substituent,38,
psi,pounds per square inch,condition_term,38,
PT,1-phenyl-1H-tetrazol-5-yl,protecting_group,38,
P.T.,proton transfer,reaction_term,38,
PTAB,phenyltrimethylammonium perbromide,reagent,38,
PTC,phase transfer catalyst,catalyst,38,
PTMSE,(2-phenyl-2-trimethylsilyl)ethyl,protecting_group,38,
PTSA,p-toluenesulfonic acid,reagent,38,Shown as PTSA (or TsOH).
TsOH,p-toluenesulfonic acid,reagent,38,Synonym shown with PTSA.
PVP,poly(4-vinylpyridine),support,38,
Py,pyridine,base,38,Shown as Py (pyr).
pyr,pyridine,base,38,Alias shown with Py.
r.t.,room temperature,condition_term,38,
rac,racemic,general_term,38,
RAMP,(R)-1-amino-2-(methoxymethyl)pyrrolidine,ligand,38,
RaNi,Raney nickel,catalyst,38,
RB,Rose Bengal,catalyst,38,Cross-reference abbreviation shown on page xxxviii.
RCAM,ring-closing alkyne metathesis,reaction_term,38,
RCM,ring-closing metathesis,reaction_term,38,
Rds,rate-determining step,general_term,38,Shown as Rds (or RDS).
RDS,rate-determining step,general_term,38,Alias shown with Rds.
Red-Al,sodium bis(2-methoxyethoxy) aluminum hydride,reagent,38,
Rham,rhamnosyl,substituent,38,
Rf,perfluoroalkyl group / retention factor in chromatography,general_term,38,Ambiguous glossary abbreviation on page.
ROM,ring-opening metathesis,reaction_term,38,
ROMP,ring-opening metathesis polymerization,reaction_term,38,
Rose Bengal,"2,4,5,7-tetraiodo-3',4',5',6'-tetrachlorofluorescein disodium salt",catalyst,39,Photosensitizer; glossary labels it as RB.
s,seconds (length of reaction time),condition_term,39,
"S,S,-chiraphos","(S,S)-2,3-bis(diphenylphosphino)butane",ligand,39,
Salen,"N,N'-ethylenebis(salicylideneiminato) bis(salicylidene)",ligand,39,
salophen,o-phenylenebis(salicylideneimino),ligand,39,
SAMP,(S)-1-amino-2-(methoxymethyl)pyrrolidine,ligand,39,
SC CO2,supercritical carbon-dioxide,solvent,39,
SDS,sodium dodecylsulfate,additive,39,
sec,secondary,general_term,39,
SEM,2-(trimethylsilyl)ethoxymethyl,protecting_group,39,
SES,2-[(trimethylsilyl)ethyl]sulfonyl,protecting_group,39,
SET,single electron transfer,reaction_term,39,
Sia,"1,2-dimethylpropyl (secondary isoamyl)",substituent,39,
SPB,sodium perborate,oxidant,39,
TADDOL,"2,2-dimethyl-α,α,α',α'-tetraaryl-1,3-dioxolane-4,5-dimethanol",ligand,40,
TASF,tris(diethylamino)sulfonium difluorotrimethylsilicate,reagent,40,
TBAB,tetra-n-butylammonium bromide,additive,40,
TBAF,tetra-n-butylammonium fluoride,reagent,40,
TBAI,tetra-n-butylammonium iodide,additive,40,
TBCO,tetrabromocyclohexadienone,reagent,40,
TBDMS,t-butyldimethylsilyl,protecting_group,40,Shown as TBDMS (TBS).
TBS,t-butyldimethylsilyl,protecting_group,40,Alias shown with TBDMS.
TBDPS,t-butyldiphenylsilyl,protecting_group,40,Shown as TBDPS (BPS).
BPS,t-butyldiphenylsilyl,protecting_group,40,Alias shown with TBDPS.
TBH,tert-butyl hypochlorite,oxidant,40,
TBHP,tert-butyl hydroperoxide,oxidant,40,
TBP,tributylphosphine,reagent,40,
TBT,1-tert-butyl-1H-tetrazol-5-yl,protecting_group,40,
TBTH,tributyltin hydride,reagent,40,
TBTSP,t-butyl trimethylsilyl peroxide,oxidant,40,
TCCA,trichloroisocyanuric acid,oxidant,41,
TCDI,thiocarbonyl diimidazole,reagent,41,
TCNE,tetracyanoethylene,reagent,41,
TCNQ,"7,7,8,8-tetracyano-p-quinodimethane",reagent,41,
TDS,dimethyl thexylsilyl,protecting_group,41,
TEA,triethylamine,base,41,
TEBACI,benzyl trimethylammonium chloride,additive,41,
TEMPO,"2,2,6,6-tetramethyl-1-piperidinyloxy free radical",catalyst,41,
Teoc,2-(trimethylsilyl)ethoxycarbonyl,protecting_group,41,
TEP,triethylphosphite,reagent,41,
TES,triethylsilyl,protecting_group,41,
Tf,trifluoromethanesulfonyl,protecting_group,41,
TFA,trifluoroacetic acid,reagent,41,
Tfa,trifluoroacetamide,reagent,41,
TFAA,trifluoroacetic anhydride,reagent,42,
TFE,"2,2,2-trifluoroethanol",solvent,42,
TFMSA,trifluoromethanesulfonic acid,reagent,42,Triflic acid.
TFP,tris(2-furyl)phosphine,ligand,42,
Th,2-thienyl,substituent,42,
thexyl,"1,1,2-trimethylpropyl",substituent,42,
THF,tetrahydrofuran,solvent,42,
THP,2-tetrahydropyranyl,protecting_group,42,
TIPB,"1,3,5-triisopropylbenzene",solvent,42,
TIPS,triisopropylsilyl,protecting_group,42,
TMAO,trimethylamine N-oxide,reagent,42,Shown as TMAO (TMANO).
TMANO,trimethylamine N-oxide,reagent,42,Alias shown with TMAO.
TMEDA,"N,N,N',N'-tetramethylethylenediamine",base,42,
TMG,"1,1,3,3-tetramethylguanidine",base,42,
TMGA,tetramethylguanidinium azide,reagent,42,
Tmob,"2,4,6-trimethoxybenzyl",protecting_group,43,
TMP,"2,2,6,6-tetramethylpiperidine",base,43,
TMS,trimethylsilyl,protecting_group,43,
TMSA,trimethylsilyl azide,reagent,43,
TMSEE,(trimethylsilyl)ethynyl ether,reagent,43,
TMU,tetramethylurea,solvent,43,
TNM,tetranitromethane,reagent,43,
Tol,p-tolyl,substituent,43,
tolbinap,"2,2'-bis(di-p-tolylphosphino)-1,1'-binaphthyl",ligand,43,
TPAP,tetra-n-propylammonium perruthenate,oxidant,43,
TPP,"triphenylphosphine / 5,10,15,20-tetraphenylporphyrin",general_term,43,Ambiguous glossary abbreviation on page.
