case_id,expected_family,top1_family,top3_families,top3_scores,top5_families,hit_at_1,hit_at_3,hit_at_5,no_confident_hit,source_extract_id,source_kind,error
cov_balz-schiemann_reaction_(schiemann_reaction)_814,Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction) | Friedel-Crafts Alkylation | Eschenmoser-Tanabe Fragmentation,2.851 | 1.415 | 1.284,Balz-Schiemann Reaction (Schiemann Reaction) | Friedel-Crafts Alkylation | Eschenmoser-Tanabe Fragmentation | Sandmeyer Reaction | Hunsdiecker Reaction,True,True,True,False,814,application_example,
cov_bamford-stevens-shapiro_olefination_1531,Bamford-Stevens-Shapiro Olefination,Schwartz Hydrozirconation,Schwartz Hydrozirconation | Paal-Knorr Furan Synthesis | Wacker Oxidation,1.295 | 1.053 | 0.979,Schwartz Hydrozirconation | Paal-Knorr Furan Synthesis | Wacker Oxidation | Enders SAMP/RAMP Hydrazone Alkylation | Wittig Reaction - Schlosser Modification,False,False,False,False,1531,application_example,
cov_bamford-stevens-shapiro_olefination_1532,Bamford-Stevens-Shapiro Olefination,Eschenmoser Methenylation,Eschenmoser Methenylation | Enders SAMP/RAMP Hydrazone Alkylation | Stork Enamine Synthesis,2.205 | 2.015 | 1.993,Eschenmoser Methenylation | Enders SAMP/RAMP Hydrazone Alkylation | Stork Enamine Synthesis | Tebbe Olefination/Petasis-Tebbe Olefination | Meerwein-Ponndorf-Verley Reduction,False,False,False,False,1532,application_example,
cov_barbier_coupling_reaction_1408,Barbier Coupling Reaction,Keck Asymmetric Allylation,Keck Asymmetric Allylation | Henry Reaction | Roush Asymmetric Allylation,4.118 | 2.8 | 2.758,Keck Asymmetric Allylation | Henry Reaction | Roush Asymmetric Allylation | Julia-Lythgoe Olefination | Wittig Reaction,False,False,False,False,1408,application_example,
cov_barbier_coupling_reaction_1409,Barbier Coupling Reaction,Sakurai Allylation,"Sakurai Allylation | Wittig-[1,2]- and [2,3]-Rearrangement | Roush Asymmetric Allylation",2.06 | 1.872 | 1.853,"Sakurai Allylation | Wittig-[1,2]- and [2,3]-Rearrangement | Roush Asymmetric Allylation | Wittig Reaction - Schlosser Modification | Keck Asymmetric Allylation",False,False,False,False,1409,application_example,
cov_bartoli_indole_synthesis_413,Bartoli Indole Synthesis,Bartoli Indole Synthesis,Bartoli Indole Synthesis | Reimer-Tiemann Reaction | Nenitzescu Indole Synthesis,1.224 | 0.608 | 0.554,Bartoli Indole Synthesis | Reimer-Tiemann Reaction | Nenitzescu Indole Synthesis | Madelung Indole Synthesis | Fischer Indole Synthesis,True,True,True,False,413,application_example,
cov_bartoli_indole_synthesis_1478,Bartoli Indole Synthesis,Bartoli Indole Synthesis,Bartoli Indole Synthesis | Madelung Indole Synthesis | Henry Reaction,3.255 | 1.003 | 0.643,Bartoli Indole Synthesis | Madelung Indole Synthesis | Henry Reaction | Dienone-Phenol Rearrangement | Nenitzescu Indole Synthesis,True,True,True,False,1478,application_example,
cov_barton_nitrite_ester_reaction_1480,Barton Nitrite Ester Reaction,Barton Nitrite Ester Reaction,Barton Nitrite Ester Reaction | Kulinovich Reaction | Pinacol and Semipinacol Rearrangement,0.388 | 0.293 | 0.251,Barton Nitrite Ester Reaction | Kulinovich Reaction | Pinacol and Semipinacol Rearrangement | Oppenauer Oxidation | Jones Oxidation,True,True,True,True,1480,application_example,
cov_barton_nitrite_ester_reaction_1481,Barton Nitrite Ester Reaction,Horner-Wadsworth-Emmons Olefination,Horner-Wadsworth-Emmons Olefination | Pfitzner-Moffatt Oxidation | Swern Oxidation,1.319 | 0.787 | 0.697,Horner-Wadsworth-Emmons Olefination | Pfitzner-Moffatt Oxidation | Swern Oxidation | Corey-Kim Oxidation | Hunsdiecker Reaction,False,False,False,False,1481,application_example,
cov_barton_radical_decarboxylation_reaction_357,Barton Radical Decarboxylation Reaction,Diels-Alder Cycloaddition,Diels-Alder Cycloaddition | Danheiser Benzannulation | Paal-Knorr Furan Synthesis,0.354 | 0.31 | 0.287,Diels-Alder Cycloaddition | Danheiser Benzannulation | Paal-Knorr Furan Synthesis | Dieckmann Condensation | Stobbe Condensation,False,False,False,True,357,application_example,
cov_barton_radical_decarboxylation_reaction_356,Barton Radical Decarboxylation Reaction,Barton Radical Decarboxylation,Barton Radical Decarboxylation,1.157,Barton Radical Decarboxylation,True,True,True,False,356,application_example,
cov_barton-mccombie_radical_deoxygenation_reaction_796,Barton-McCombie Radical Deoxygenation Reaction,Paternò-Büchi Reaction,Paternò-Büchi Reaction | Baker-Venkataraman Rearrangement | Barton-McCombie Radical Deoxygenation Reaction,0.831 | 0.413 | 0.049,Paternò-Büchi Reaction | Baker-Venkataraman Rearrangement | Barton-McCombie Radical Deoxygenation Reaction | Baeyer-Villiger Oxidation,False,True,True,False,796,application_example,
cov_barton-mccombie_radical_deoxygenation_reaction_797,Barton-McCombie Radical Deoxygenation Reaction,Weinreb Ketone Synthesis,Weinreb Ketone Synthesis | Snieckus Directed Ortho Metalation | Myers Asymmetric Alkylation,1.259 | 0.714 | 0.491,Weinreb Ketone Synthesis | Snieckus Directed Ortho Metalation | Myers Asymmetric Alkylation | Favorskii and Homo-Favorskii Rearrangement | Baylis-Hillman Reaction,False,False,False,False,797,application_example,
cov_baylis-hillman_reaction_1411,Baylis-Hillman Reaction,Baylis-Hillman Reaction,Baylis-Hillman Reaction | Heck Reaction | Stetter Reaction,3.167 | 2.939 | 2.833,Baylis-Hillman Reaction | Heck Reaction | Stetter Reaction | Keck Asymmetric Allylation | Horner-Wadsworth-Emmons Olefination,True,True,True,False,1411,application_example,
cov_baylis-hillman_reaction_1412,Baylis-Hillman Reaction,Baylis-Hillman Reaction,Baylis-Hillman Reaction | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction,3.6 | 1.684 | 1.618,Baylis-Hillman Reaction | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction | Heck Reaction | Wittig Reaction - Schlosser Modification,True,True,True,False,1412,application_example,
cov_beckmann_rearrangement_1435,Beckmann Rearrangement,Eschenmoser Methenylation,Eschenmoser Methenylation | Enders SAMP/RAMP Hydrazone Alkylation | Ciamician-Dennstedt Rearrangement,1.469 | 1.401 | 1.143,Eschenmoser Methenylation | Enders SAMP/RAMP Hydrazone Alkylation | Ciamician-Dennstedt Rearrangement | Demjanov Rearrangement and Tiffeneau-Demjanov Rearrangement | Jones Oxidation,False,False,False,False,1435,application_example,
cov_beckmann_rearrangement_1436,Beckmann Rearrangement,Schmidt Reaction,Schmidt Reaction | Lieben Haloform Reaction | Mannich Reaction,2.493 | 2.319 | 2.17,Schmidt Reaction | Lieben Haloform Reaction | Mannich Reaction | Noyori Asymmetric Hydrogenation | Claisen Condensation / Claisen Reaction,False,False,False,False,1436,application_example,
cov_benzilic_acid_rearrangement_401,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement | Claisen Condensation / Claisen Reaction | Baylis-Hillman Reaction,2.422 | 1.01 | 0.965,Benzilic Acid Rearrangement | Claisen Condensation / Claisen Reaction | Baylis-Hillman Reaction | Heck Reaction | Danishefsky's Diene Cycloaddition,True,True,True,False,401,application_example,
cov_benzilic_acid_rearrangement_400,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement | Hajos-Parrish Reaction | Dienone-Phenol Rearrangement,2.884 | 0.45 | 0.378,Benzilic Acid Rearrangement | Hajos-Parrish Reaction | Dienone-Phenol Rearrangement | Danishefsky's Diene Cycloaddition,True,True,True,False,400,application_example,
cov_benzoin_and_retro-benzoin_condensation_157,Benzoin and Retro-Benzoin Condensation,Benzoin and Retro-Benzoin Condensation,Benzoin and Retro-Benzoin Condensation | Aza-Wittig Reaction | Claisen Condensation / Claisen Reaction,9.249 | 5.791 | 4.995,Benzoin and Retro-Benzoin Condensation | Aza-Wittig Reaction | Claisen Condensation / Claisen Reaction | Aldol Reaction | McMurry Coupling,True,True,True,False,157,application_example,
cov_benzoin_and_retro-benzoin_condensation_1529,Benzoin and Retro-Benzoin Condensation,Cannizzaro Reaction,Cannizzaro Reaction | Baylis-Hillman Reaction | Benzoin and Retro-Benzoin Condensation,1.716 | 1.59 | 1.353,Cannizzaro Reaction | Baylis-Hillman Reaction | Benzoin and Retro-Benzoin Condensation | Gattermann and Gattermann-Koch Formylation | Pomeranz-Fritsch Reaction,False,True,True,False,1529,application_example,
cov_bergman_cycloaromatization_reaction_1438,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction | Tsuji-Wilkinson Decarbonylation Reaction | Balz-Schiemann Reaction (Schiemann Reaction),1.835 | 0.892 | 0.577,Bergman Cycloaromatization Reaction | Tsuji-Wilkinson Decarbonylation Reaction | Balz-Schiemann Reaction (Schiemann Reaction) | Sandmeyer Reaction | Hofmann Rearrangement,True,True,True,False,1438,application_example,
cov_bergman_cycloaromatization_reaction_1439,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction | Wittig Reaction | Meyer-Schuster and Rupe Rearrangement,2.621 | 1.584 | 1.324,Bergman Cycloaromatization Reaction | Wittig Reaction | Meyer-Schuster and Rupe Rearrangement | Aza-Wittig Reaction | Pauson-Khand Reaction,True,True,True,False,1439,application_example,
cov_biginelli_reaction_1441,Biginelli Reaction,Horner-Wadsworth-Emmons Olefination,Horner-Wadsworth-Emmons Olefination | Acetoacetic Ester Synthesis | Perkin Reaction,3.729 | 2.198 | 2.066,Horner-Wadsworth-Emmons Olefination | Acetoacetic Ester Synthesis | Perkin Reaction | Aza-Wittig Reaction | Wittig Reaction,False,False,False,False,1441,application_example,
cov_biginelli_reaction_1442,Biginelli Reaction,Acetoacetic Ester Synthesis,Acetoacetic Ester Synthesis | Malonic Ester Synthesis | Claisen Condensation / Claisen Reaction,2.304 | 1.755 | 1.639,Acetoacetic Ester Synthesis | Malonic Ester Synthesis | Claisen Condensation / Claisen Reaction | Hantzsch Dihydropyridine Synthesis | Knorr Pyrrole Synthesis,False,False,False,False,1442,application_example,
cov_birch_reduction_1414,Birch Reduction,Birch Reduction,Birch Reduction | Friedel-Crafts Alkylation | Friedel-Crafts Acylation,1.736 | 1.36 | 1.31,Birch Reduction | Friedel-Crafts Alkylation | Friedel-Crafts Acylation | Gattermann and Gattermann-Koch Formylation | Balz-Schiemann Reaction (Schiemann Reaction),True,True,True,False,1414,application_example,
cov_birch_reduction_1415,Birch Reduction,Birch Reduction,Birch Reduction | Friedel-Crafts Acylation | Snieckus Directed Ortho Metalation,2.633 | 1.422 | 1.376,Birch Reduction | Friedel-Crafts Acylation | Snieckus Directed Ortho Metalation | Gattermann and Gattermann-Koch Formylation | Vilsmeier-Haack Formylation,True,True,True,False,1415,application_example,
cov_bischler-napieralski_isoquinoline_synthesis_194,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis | Wharton Fragmentation | Eschenmoser-Tanabe Fragmentation,3.049 | 0.493 | 0.433,Bischler-Napieralski Isoquinoline Synthesis | Wharton Fragmentation | Eschenmoser-Tanabe Fragmentation | Hofmann-Loffler-Freytag Reaction | Dakin Oxidation,True,True,True,False,194,application_example,
cov_bischler-napieralski_isoquinoline_synthesis_1463,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis | Pinner Reaction | Ley Oxidation,3.155 | 1.152 | 1.002,Bischler-Napieralski Isoquinoline Synthesis | Pinner Reaction | Ley Oxidation | Sommelet-Hauser Rearrangement | Corey-Bakshi-Shibata Reduction (CBS Reduction),True,True,True,False,1463,application_example,
cov_brook_rearrangement_416,Brook Rearrangement,Brook Rearrangement,Brook Rearrangement | Rubottom Oxidation | Saegusa Oxidation,2.104 | 0.535 | 0.522,Brook Rearrangement | Rubottom Oxidation | Saegusa Oxidation | Smith-Tietze Multicomponent Dithiane Linchpin Coupling,True,True,True,False,416,application_example,
