case_id,expected_family,top1_family,top3_families,top3_scores,top5_families,hit_at_1,hit_at_3,hit_at_5,no_confident_hit,source_extract_id,source_kind,error
cov_alkyne_metathesis_1432,Alkyne Metathesis,Alkyne Metathesis,Alkyne Metathesis | Dötz Benzannulation Reaction | Midland Alpine Borane Reduction,2.518 | 1.648 | 0.99,Alkyne Metathesis | Dötz Benzannulation Reaction | Midland Alpine Borane Reduction | Gabriel Synthesis | Stephen Aldehyde Synthesis (Stephen Reduction),True,True,True,False,1432,application_example,
cov_alkyne_metathesis_1433,Alkyne Metathesis,Alkyne Metathesis,Alkyne Metathesis | Nicholas Reaction | Corey-Winter Olefination,2.7 | 1.661 | 1.501,Alkyne Metathesis | Nicholas Reaction | Corey-Winter Olefination | Clemmensen Reduction | Midland Alpine Borane Reduction,True,True,True,False,1433,application_example,
cov_amadori_reaction_/_rearrangement_806,Amadori Reaction / Rearrangement,Pinner Reaction,Pinner Reaction | Friedel-Crafts Acylation | Sharpless Asymmetric Aminohydroxylation,1.147 | 1.065 | 0.913,Pinner Reaction | Friedel-Crafts Acylation | Sharpless Asymmetric Aminohydroxylation | Corey-Bakshi-Shibata Reduction (CBS Reduction) | Stetter Reaction,False,False,False,False,806,application_example,
cov_amadori_reaction_/_rearrangement_807,Amadori Reaction / Rearrangement,Koenigs-Knorr Glycosidation,Koenigs-Knorr Glycosidation | Friedel-Crafts Acylation | Payne Rearrangement,0.674 | 0.451 | 0.42,Koenigs-Knorr Glycosidation | Friedel-Crafts Acylation | Payne Rearrangement | Smiles Rearrangement | Prévost Reaction,False,False,False,False,807,application_example,
cov_arbuzov_reaction_(michaelis-arbuzov_reaction)_57,Arbuzov Reaction (Michaelis-Arbuzov Reaction),Arbuzov Reaction (Michaelis-Arbuzov Reaction),Arbuzov Reaction (Michaelis-Arbuzov Reaction) | Chichibabin Amination Reaction (Chichibabin Reaction) | Alkyne Metathesis,1.705 | 0.212 | 0.17,Arbuzov Reaction (Michaelis-Arbuzov Reaction) | Chichibabin Amination Reaction (Chichibabin Reaction) | Alkyne Metathesis | Dakin Oxidation | Ullmann Biaryl Ether and Biaryl Amine Synthesis / Condensation,True,True,True,False,57,application_example,
cov_arbuzov_reaction_(michaelis-arbuzov_reaction)_808,Arbuzov Reaction (Michaelis-Arbuzov Reaction),Arbuzov Reaction (Michaelis-Arbuzov Reaction),Arbuzov Reaction (Michaelis-Arbuzov Reaction) | Malonic Ester Synthesis | Krapcho Dealkoxycarbonylation (Krapcho Reaction),5.566 | 2.098 | 1.804,Arbuzov Reaction (Michaelis-Arbuzov Reaction) | Malonic Ester Synthesis | Krapcho Dealkoxycarbonylation (Krapcho Reaction) | Regitz Diazo Transfer | Retro-Claisen Reaction,True,True,True,False,808,application_example,
cov_arndt-eistert_homologation_/_synthesis_62,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis | Baker-Venkataraman Rearrangement | Acyloin Condensation,6.781 | 0.784 | 0.077,Arndt-Eistert Homologation / Synthesis | Baker-Venkataraman Rearrangement | Acyloin Condensation | Knoevenagel Condensation,True,True,True,False,62,application_example,
cov_arndt-eistert_homologation_/_synthesis_1487,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis,Arndt-Eistert Homologation / Synthesis | Pfitzner-Moffatt Oxidation | Pinnick Oxidation,2.567 | 1.445 | 1.116,Arndt-Eistert Homologation / Synthesis | Pfitzner-Moffatt Oxidation | Pinnick Oxidation | Favorskii Rearrangement | Favorskii and Homo-Favorskii Rearrangement,True,True,True,False,1487,application_example,
cov_aza-claisen_rearrangement_(3-aza-cope_rearrangement)_335,Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement) | Stork Enamine Synthesis | Oxy-Cope Rearrangement and Anionic Oxy-Cope Rearrangement,1.164 | 0.5 | 0.36,Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement) | Stork Enamine Synthesis | Oxy-Cope Rearrangement and Anionic Oxy-Cope Rearrangement | Keck Radical Allylation | Vinylcyclopropane-Cyclopentene Rearrangement,True,True,True,False,335,application_example,
cov_aza-claisen_rearrangement_(3-aza-cope_rearrangement)_337,Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement),"Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement) | Aza-[2,3]-Wittig Rearrangement | Tsuji-Trost Reaction / Allylation",1.052 | 0.275 | 0.076,"Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement) | Aza-[2,3]-Wittig Rearrangement | Tsuji-Trost Reaction / Allylation",True,True,True,False,337,application_example,
cov_aza-cope_rearrangement_74,Aza-Cope Rearrangement,Aza-Cope Rearrangement,Aza-Cope Rearrangement | Eschweiler-Clarke Methylation | Meisenheimer Rearrangement,3.402 | 1.777 | 1.429,"Aza-Cope Rearrangement | Eschweiler-Clarke Methylation | Meisenheimer Rearrangement | Fleming-Tamao Oxidation | Wittig-[1,2]- and [2,3]-Rearrangement",True,True,True,False,74,application_example,
cov_aza-cope_rearrangement_1447,Aza-Cope Rearrangement,Aza-Cope Rearrangement,Aza-Cope Rearrangement | Meisenheimer Rearrangement | Cope Rearrangement,2.787 | 0.852 | 0.767,"Aza-Cope Rearrangement | Meisenheimer Rearrangement | Cope Rearrangement | Aza-[2,3]-Wittig Rearrangement | Alder (Ene) Reaction (Hydro-Allyl Addition)",True,True,True,False,1447,application_example,
cov_aza-wittig_reaction_1501,Aza-Wittig Reaction,Evans Aldol Reaction,Evans Aldol Reaction | Dess-Martin Oxidation | Roush Asymmetric Allylation,0.823 | 0.803 | 0.628,Evans Aldol Reaction | Dess-Martin Oxidation | Roush Asymmetric Allylation | Pinnick Oxidation | Tsuji-Wilkinson Decarbonylation Reaction,False,False,False,False,1501,application_example,
cov_aza-wittig_reaction_1502,Aza-Wittig Reaction,Corey-Chaykovsky Epoxidation and Cyclopropanation,Corey-Chaykovsky Epoxidation and Cyclopropanation | Roush Asymmetric Allylation | Cannizzaro Reaction,1.673 | 1.664 | 1.664,Corey-Chaykovsky Epoxidation and Cyclopropanation | Roush Asymmetric Allylation | Cannizzaro Reaction | Friedel-Crafts Acylation | Gattermann and Gattermann-Koch Formylation,False,False,False,False,1502,application_example,
"cov_aza-[2,3]-wittig_rearrangement_1459","Aza-[2,3]-Wittig Rearrangement","Aza-[2,3]-Wittig Rearrangement","Aza-[2,3]-Wittig Rearrangement | Aza-Cope Rearrangement | Alder (Ene) Reaction (Hydro-Allyl Addition)",1.839 | 1.249 | 1.056,"Aza-[2,3]-Wittig Rearrangement | Aza-Cope Rearrangement | Alder (Ene) Reaction (Hydro-Allyl Addition) | Wittig-[1,2]- and [2,3]-Rearrangement | Roush Asymmetric Allylation",True,True,True,False,1459,application_example,
"cov_aza-[2,3]-wittig_rearrangement_1460","Aza-[2,3]-Wittig Rearrangement","Aza-[2,3]-Wittig Rearrangement","Aza-[2,3]-Wittig Rearrangement | Meisenheimer Rearrangement | Stevens Rearrangement",2.508 | 1.434 | 1.416,"Aza-[2,3]-Wittig Rearrangement | Meisenheimer Rearrangement | Stevens Rearrangement | Aza-Cope Rearrangement | Wittig-[1,2]- and [2,3]-Rearrangement",True,True,True,False,1460,application_example,
cov_baeyer-villiger_oxidation/rearrangement_812,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement | Lieben Haloform Reaction | Mannich Reaction,3.487 | 3.118 | 3.004,Baeyer-Villiger Oxidation/Rearrangement | Lieben Haloform Reaction | Mannich Reaction | Criegee Oxidation | Corey-Bakshi-Shibata Reduction (CBS Reduction),True,True,True,False,812,application_example,
cov_baeyer-villiger_oxidation/rearrangement_813,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement,Baeyer-Villiger Oxidation/Rearrangement | Baeyer-Villiger Oxidation | Eschenmoser Methenylation,3.395 | 1.758 | 1.607,Baeyer-Villiger Oxidation/Rearrangement | Baeyer-Villiger Oxidation | Eschenmoser Methenylation | Corey-Nicolaou Macrolactonization | Keck Macrolactonization,True,True,True,False,813,application_example,
cov_baker-venkataraman_rearrangement_344,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement | Criegee Oxidation | Friedel-Crafts Acylation,1.607 | 0.82 | 0.819,Baker-Venkataraman Rearrangement | Criegee Oxidation | Friedel-Crafts Acylation | Lieben Haloform Reaction | Fries Rearrangement,True,True,True,False,344,application_example,
cov_baker-venkataraman_rearrangement_345,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement | Stille-Kelly Coupling | von Pechmann Reaction,0.751 | 0.748 | 0.463,Baker-Venkataraman Rearrangement | Stille-Kelly Coupling | von Pechmann Reaction | Dakin Oxidation | Kolbe-Schmitt Reaction,True,True,True,False,345,application_example,
cov_baldwin's_rules_/_guidelines_for_ring-closing_reactions_970,Baldwin's Rules / Guidelines for Ring-Closing Reactions,Baldwin's Rules / Guidelines for Ring-Closing Reactions,Baldwin's Rules / Guidelines for Ring-Closing Reactions | Acetoacetic Ester Synthesis | Corey-Nicolaou Macrolactonization,0.883 | 0.421 | 0.359,Baldwin's Rules / Guidelines for Ring-Closing Reactions | Acetoacetic Ester Synthesis | Corey-Nicolaou Macrolactonization | Keck Macrolactonization | Yamaguchi Macrolactonization,True,True,True,False,970,application_example,
cov_baldwin's_rules_/_guidelines_for_ring-closing_reactions_980,Baldwin's Rules / Guidelines for Ring-Closing Reactions,Baldwin's Rules / Guidelines for Ring-Closing Reactions,Baldwin's Rules / Guidelines for Ring-Closing Reactions | Corey-Nicolaou Macrolactonization | Keck Macrolactonization,1.056 | 0.513 | 0.513,Baldwin's Rules / Guidelines for Ring-Closing Reactions | Corey-Nicolaou Macrolactonization | Keck Macrolactonization | Yamaguchi Macrolactonization | Acetoacetic Ester Synthesis,True,True,True,False,980,application_example,
cov_balz-schiemann_reaction_(schiemann_reaction)_351,Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction),1.052,Balz-Schiemann Reaction (Schiemann Reaction),True,True,True,False,351,application_example,
cov_balz-schiemann_reaction_(schiemann_reaction)_814,Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction),Balz-Schiemann Reaction (Schiemann Reaction) | Sandmeyer Reaction | Friedel-Crafts Alkylation,2.851 | 1.445 | 1.415,Balz-Schiemann Reaction (Schiemann Reaction) | Sandmeyer Reaction | Friedel-Crafts Alkylation | Eschenmoser-Tanabe Fragmentation | Hunsdiecker Reaction,True,True,True,False,814,application_example,
cov_bamford-stevens-shapiro_olefination_1531,Bamford-Stevens-Shapiro Olefination,Schwartz Hydrozirconation,Schwartz Hydrozirconation | Wacker Oxidation | Enders SAMP/RAMP Hydrazone Alkylation,1.295 | 0.979 | 0.962,Schwartz Hydrozirconation | Wacker Oxidation | Enders SAMP/RAMP Hydrazone Alkylation | Dess-Martin Oxidation | Brown Hydroboration Reaction,False,False,False,False,1531,application_example,
cov_bamford-stevens-shapiro_olefination_1532,Bamford-Stevens-Shapiro Olefination,Eschenmoser Methenylation,Eschenmoser Methenylation | Enders SAMP/RAMP Hydrazone Alkylation | Stork Enamine Synthesis,2.205 | 2.015 | 1.993,Eschenmoser Methenylation | Enders SAMP/RAMP Hydrazone Alkylation | Stork Enamine Synthesis | Tebbe Olefination/Petasis-Tebbe Olefination | Meerwein-Ponndorf-Verley Reduction,False,False,False,False,1532,application_example,
cov_barbier_coupling_reaction_1408,Barbier Coupling Reaction,Roush Asymmetric Allylation,Roush Asymmetric Allylation | Keck Asymmetric Allylation | Grignard Reaction,2.758 | 2.002 | 1.693,Roush Asymmetric Allylation | Keck Asymmetric Allylation | Grignard Reaction | Danishefsky's Diene Cycloaddition | Benzoin and Retro-Benzoin Condensation,False,False,False,False,1408,application_example,
cov_barbier_coupling_reaction_1409,Barbier Coupling Reaction,"Wittig-[1,2]- and [2,3]-Rearrangement","Wittig-[1,2]- and [2,3]-Rearrangement | Roush Asymmetric Allylation | Alder (Ene) Reaction (Hydro-Allyl Addition)",1.872 | 1.765 | 1.392,"Wittig-[1,2]- and [2,3]-Rearrangement | Roush Asymmetric Allylation | Alder (Ene) Reaction (Hydro-Allyl Addition) | Johnson-Claisen Rearrangement | Barbier Coupling Reaction",False,False,True,False,1409,application_example,
cov_bartoli_indole_synthesis_413,Bartoli Indole Synthesis,Bartoli Indole Synthesis,Bartoli Indole Synthesis | Reimer-Tiemann Reaction | Nenitzescu Indole Synthesis,1.224 | 0.608 | 0.554,Bartoli Indole Synthesis | Reimer-Tiemann Reaction | Nenitzescu Indole Synthesis | Madelung Indole Synthesis | Fischer Indole Synthesis,True,True,True,False,413,application_example,
cov_bartoli_indole_synthesis_1478,Bartoli Indole Synthesis,Bartoli Indole Synthesis,Bartoli Indole Synthesis | Madelung Indole Synthesis | Dienone-Phenol Rearrangement,3.255 | 1.003 | 0.559,Bartoli Indole Synthesis | Madelung Indole Synthesis | Dienone-Phenol Rearrangement | Nenitzescu Indole Synthesis | Smiles Rearrangement,True,True,True,False,1478,application_example,
cov_barton_nitrite_ester_reaction_1480,Barton Nitrite Ester Reaction,Barton Nitrite Ester Reaction,Barton Nitrite Ester Reaction | Kulinovich Reaction | Oppenauer Oxidation,0.388 | 0.293 | 0.242,Barton Nitrite Ester Reaction | Kulinovich Reaction | Oppenauer Oxidation | Jones Oxidation | Criegee Oxidation,True,True,True,True,1480,application_example,
cov_barton_nitrite_ester_reaction_1481,Barton Nitrite Ester Reaction,Pfitzner-Moffatt Oxidation,Pfitzner-Moffatt Oxidation | Corey-Kim Oxidation | Hunsdiecker Reaction,0.787 | 0.697 | 0.462,Pfitzner-Moffatt Oxidation | Corey-Kim Oxidation | Hunsdiecker Reaction | Keck Radical Allylation | Takai-Utimoto Olefination (Takai Reaction),False,False,False,False,1481,application_example,
cov_barton_radical_decarboxylation_reaction_357,Barton Radical Decarboxylation Reaction,Diels-Alder Cycloaddition,Diels-Alder Cycloaddition | Danheiser Benzannulation | Dieckmann Condensation,0.354 | 0.31 | 0.166,Diels-Alder Cycloaddition | Danheiser Benzannulation | Dieckmann Condensation | Stobbe Condensation | Mitsunobu Reaction,False,False,False,True,357,application_example,
cov_barton_radical_decarboxylation_reaction_356,Barton Radical Decarboxylation Reaction,Barton Radical Decarboxylation,Barton Radical Decarboxylation,1.157,Barton Radical Decarboxylation,True,True,True,False,356,application_example,
cov_barton-mccombie_radical_deoxygenation_reaction_796,Barton-McCombie Radical Deoxygenation Reaction,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement | Paternò-Büchi Reaction | Barton-McCombie Radical Deoxygenation Reaction,0.413 | 0.073 | 0.049,Baker-Venkataraman Rearrangement | Paternò-Büchi Reaction | Barton-McCombie Radical Deoxygenation Reaction | Baeyer-Villiger Oxidation,False,True,True,True,796,application_example,
cov_barton-mccombie_radical_deoxygenation_reaction_797,Barton-McCombie Radical Deoxygenation Reaction,Weinreb Ketone Synthesis,Weinreb Ketone Synthesis | Snieckus Directed Ortho Metalation | Myers Asymmetric Alkylation,1.259 | 0.714 | 0.491,Weinreb Ketone Synthesis | Snieckus Directed Ortho Metalation | Myers Asymmetric Alkylation | Favorskii and Homo-Favorskii Rearrangement | Baylis-Hillman Reaction,False,False,False,False,797,application_example,
cov_baylis-hillman_reaction_1411,Baylis-Hillman Reaction,Baylis-Hillman Reaction,Baylis-Hillman Reaction | Stetter Reaction | Alkene (Olefin) Metathesis,3.167 | 2.833 | 1.836,Baylis-Hillman Reaction | Stetter Reaction | Alkene (Olefin) Metathesis | Benzoin and Retro-Benzoin Condensation | Grignard Reaction,True,True,True,False,1411,application_example,
cov_baylis-hillman_reaction_1412,Baylis-Hillman Reaction,Baylis-Hillman Reaction,Baylis-Hillman Reaction | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction,3.6 | 1.684 | 1.618,Baylis-Hillman Reaction | Tsuji-Trost Reaction / Allylation | Claisen Condensation / Claisen Reaction | Sharpless Asymmetric Aminohydroxylation | Meerwein Arylation,True,True,True,False,1412,application_example,
cov_beckmann_rearrangement_1435,Beckmann Rearrangement,Eschenmoser Methenylation,Eschenmoser Methenylation | Enders SAMP/RAMP Hydrazone Alkylation | Ciamician-Dennstedt Rearrangement,1.469 | 1.401 | 1.143,Eschenmoser Methenylation | Enders SAMP/RAMP Hydrazone Alkylation | Ciamician-Dennstedt Rearrangement | Demjanov Rearrangement and Tiffeneau-Demjanov Rearrangement | Jones Oxidation,False,False,False,False,1435,application_example,
cov_beckmann_rearrangement_1436,Beckmann Rearrangement,Lieben Haloform Reaction,Lieben Haloform Reaction | Mannich Reaction | Noyori Asymmetric Hydrogenation,2.319 | 2.17 | 1.931,Lieben Haloform Reaction | Mannich Reaction | Noyori Asymmetric Hydrogenation | Neber Rearrangement | Davis' Oxaziridine Oxidations,False,False,False,False,1436,application_example,
cov_benzilic_acid_rearrangement_401,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement | Baylis-Hillman Reaction | Danishefsky's Diene Cycloaddition,2.422 | 0.965 | 0.636,Benzilic Acid Rearrangement | Baylis-Hillman Reaction | Danishefsky's Diene Cycloaddition | Tsuji-Trost Reaction / Allylation | Stetter Reaction,True,True,True,False,401,application_example,
cov_benzilic_acid_rearrangement_400,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement | Hajos-Parrish Reaction | Dienone-Phenol Rearrangement,2.884 | 0.45 | 0.378,Benzilic Acid Rearrangement | Hajos-Parrish Reaction | Dienone-Phenol Rearrangement | Danishefsky's Diene Cycloaddition,True,True,True,False,400,application_example,
cov_benzoin_and_retro-benzoin_condensation_157,Benzoin and Retro-Benzoin Condensation,Benzoin and Retro-Benzoin Condensation,Benzoin and Retro-Benzoin Condensation | Aldol Reaction | McMurry Coupling,9.249 | 4.032 | 2.681,Benzoin and Retro-Benzoin Condensation | Aldol Reaction | McMurry Coupling | Suzuki Cross-Coupling (Suzuki-Miyaura Cross-Coupling) | Lieben Haloform Reaction,True,True,True,False,157,application_example,
cov_benzoin_and_retro-benzoin_condensation_1529,Benzoin and Retro-Benzoin Condensation,Cannizzaro Reaction,Cannizzaro Reaction | Baylis-Hillman Reaction | Benzoin and Retro-Benzoin Condensation,1.716 | 1.59 | 1.353,Cannizzaro Reaction | Baylis-Hillman Reaction | Benzoin and Retro-Benzoin Condensation | Gattermann and Gattermann-Koch Formylation | Pomeranz-Fritsch Reaction,False,True,True,False,1529,application_example,
cov_bergman_cycloaromatization_reaction_1438,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction | Balz-Schiemann Reaction (Schiemann Reaction) | Corey-Winter Olefination,1.835 | 0.577 | 0.393,Bergman Cycloaromatization Reaction | Balz-Schiemann Reaction (Schiemann Reaction) | Corey-Winter Olefination | Friedel-Crafts Acylation | Curtius Rearrangement,True,True,True,False,1438,application_example,
cov_bergman_cycloaromatization_reaction_1439,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction | Meyer-Schuster and Rupe Rearrangement | Pauson-Khand Reaction,2.621 | 1.324 | 1.213,Bergman Cycloaromatization Reaction | Meyer-Schuster and Rupe Rearrangement | Pauson-Khand Reaction | Corey-Winter Olefination | Alkyne Metathesis,True,True,True,False,1439,application_example,
cov_biginelli_reaction_1441,Biginelli Reaction,Darzens Glycidic Ester Condensation,Darzens Glycidic Ester Condensation | Knoevenagel Condensation | Retro-Claisen Reaction,1.686 | 1.609 | 1.527,Darzens Glycidic Ester Condensation | Knoevenagel Condensation | Retro-Claisen Reaction | Charette Asymmetric Cyclopropanation | Tishchenko Reaction,False,False,False,False,1441,application_example,
cov_biginelli_reaction_1442,Biginelli Reaction,Malonic Ester Synthesis,Malonic Ester Synthesis | Claisen Condensation / Claisen Reaction | Knorr Pyrrole Synthesis,1.755 | 1.639 | 1.372,Malonic Ester Synthesis | Claisen Condensation / Claisen Reaction | Knorr Pyrrole Synthesis | Retro-Claisen Reaction | Kulinkovich Reaction,False,False,False,False,1442,application_example,
cov_birch_reduction_1414,Birch Reduction,Birch Reduction,Birch Reduction | Friedel-Crafts Alkylation | Friedel-Crafts Acylation,1.736 | 1.36 | 1.31,Birch Reduction | Friedel-Crafts Alkylation | Friedel-Crafts Acylation | Gattermann and Gattermann-Koch Formylation | Balz-Schiemann Reaction (Schiemann Reaction),True,True,True,False,1414,application_example,
cov_birch_reduction_1415,Birch Reduction,Birch Reduction,Birch Reduction | Friedel-Crafts Acylation | Snieckus Directed Ortho Metalation,2.633 | 1.422 | 1.376,Birch Reduction | Friedel-Crafts Acylation | Snieckus Directed Ortho Metalation | Gattermann and Gattermann-Koch Formylation | Vilsmeier-Haack Formylation,True,True,True,False,1415,application_example,
cov_bischler-napieralski_isoquinoline_synthesis_194,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis | Wharton Fragmentation | Eschenmoser-Tanabe Fragmentation,3.049 | 0.493 | 0.433,Bischler-Napieralski Isoquinoline Synthesis | Wharton Fragmentation | Eschenmoser-Tanabe Fragmentation | Hofmann-Loffler-Freytag Reaction | Dakin Oxidation,True,True,True,False,194,application_example,
cov_bischler-napieralski_isoquinoline_synthesis_1463,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis | Pinner Reaction | Sommelet-Hauser Rearrangement,3.155 | 1.152 | 1.002,Bischler-Napieralski Isoquinoline Synthesis | Pinner Reaction | Sommelet-Hauser Rearrangement | Corey-Bakshi-Shibata Reduction (CBS Reduction) | Kornblum Oxidation,True,True,True,False,1463,application_example,
cov_brook_rearrangement_416,Brook Rearrangement,Brook Rearrangement,Brook Rearrangement | Rubottom Oxidation | Saegusa Oxidation,2.104 | 0.535 | 0.522,Brook Rearrangement | Rubottom Oxidation | Saegusa Oxidation | Smith-Tietze Multicomponent Dithiane Linchpin Coupling,True,True,True,False,416,application_example,
cov_brook_rearrangement_417,Brook Rearrangement,Brook Rearrangement,Brook Rearrangement | Alder (Ene) Reaction (Hydro-Allyl Addition) | Alkene (Olefin) Metathesis,1.753 | 0.319 | 0.266,Brook Rearrangement | Alder (Ene) Reaction (Hydro-Allyl Addition) | Alkene (Olefin) Metathesis | Castro-Stephens Coupling | Smith-Tietze Multicomponent Dithiane Linchpin Coupling,True,True,True,False,417,application_example,
cov_brown_hydroboration_reaction_1444,Brown Hydroboration Reaction,Brown Hydroboration Reaction,Brown Hydroboration Reaction | Wacker Oxidation | Dess-Martin Oxidation,2.157 | 1.303 | 1.124,Brown Hydroboration Reaction | Wacker Oxidation | Dess-Martin Oxidation | Roush Asymmetric Allylation | Schwartz Hydrozirconation,True,True,True,False,1444,application_example,
